iter	RMSE
0	38.66046292
1	38.10880701
2	37.56497074
3	37.07056523
4	36.58262127
5	36.12218371
6	35.7123771
7	35.30022483
8	34.93169942
9	34.6310872
10	34.30460258
11	34.00318299
12	33.7287988
13	33.49342864
14	33.23858622
15	33.00517197
16	32.80303043
17	32.61522002
18	32.42232455
19	32.25363618
20	32.08809844
21	31.93339537
22	31.82446974
23	31.69661982
24	31.56176245
25	31.45693124
26	31.3425239
27	31.20654235
28	31.11180988
29	30.99878081
30	30.88496711
31	30.78317297
32	30.70209254
33	30.59416954
34	30.51629574
35	30.43411786
36	30.4112437
37	30.33942081
38	30.28295307
39	30.24331907
40	30.17346436
41	30.12825755
42	30.06402021
43	30.01275711
44	29.92981094
45	29.88543135
46	29.82745776
47	29.8007665
48	29.74441127
49	29.72744429
50	29.66032002
51	29.61050445
52	29.55787584
53	29.51968972
54	29.48237363
55	29.43344472
56	29.37066544
57	29.33597792
58	29.31647689
59	29.28195186
60	29.23208687
61	29.2260487
62	29.17854042
63	29.17049401
64	29.15380666
65	29.11648421
66	29.09052093
67	29.07271489
68	29.05197677
69	29.02408551
70	28.99428683
71	28.97578469
72	28.9651453
73	28.94841778
74	28.92560512
75	28.9117497
76	28.90017681
77	28.88695753
78	28.85623894
79	28.8220445
80	28.8184893
81	28.78559907
82	28.74852563
83	28.71304446
84	28.676863
85	28.65552364
86	28.64080921
87	28.60858892
88	28.5719541
89	28.55038988
90	28.5300907
91	28.52008489
92	28.49218601
93	28.47476045
94	28.44053324
95	28.42201967
96	28.41707771
97	28.39789893
98	28.39352253
99	28.34539353
100	28.32606684
101	28.32013928
102	28.30385951
103	28.2856855
104	28.27867415
105	28.25914738
106	28.24106888
107	28.22386234
108	28.19381535
109	28.17790098
110	28.15737665
111	28.12353678
112	28.10148036
113	28.08366403
114	28.07607954
115	28.06758244
116	28.04911563
117	28.01663194
118	27.97622151
119	27.94579669
120	27.91994133
121	27.90126475
122	27.86704738
123	27.84560859
124	27.83173592
125	27.80756092
126	27.79056466
127	27.77947117
128	27.76198063
129	27.738548
130	27.70201231
131	27.68049237
132	27.66716742
133	27.65598473
134	27.64347362
135	27.60248749
136	27.59802345
137	27.59632965
138	27.56446971
139	27.54650671
140	27.53773754
141	27.49993143
142	27.47672062
143	27.46734578
144	27.44084492
145	27.4392701
146	27.42731684
147	27.41510076
148	27.39262807
149	27.37812687
150	27.35909511
151	27.33383141
152	27.32344065
153	27.30217674
154	27.29299605
155	27.2871328
156	27.27171176
157	27.26558053
158	27.26540555
159	27.24187971
160	27.22243554
161	27.18978533
162	27.16742099
163	27.14917883
164	27.12328279
165	27.1106084
166	27.08929958
167	27.05760178
168	27.03701205
169	27.02823001
170	27.01649964
171	26.98043951
172	26.95078887
173	26.92834847
174	26.9106759
175	26.86930918
176	26.83485526
177	26.81390316
178	26.80301502
179	26.7867503
180	26.7713215
181	26.7483091
182	26.71785774
183	26.69332041
184	26.66686282
185	26.65440304
186	26.6375908
187	26.62126574
188	26.59161352
189	26.56568765
190	26.56085101
191	26.55050263
192	26.53674978
193	26.5320583
194	26.5130079
195	26.50412961
196	26.46619181
197	26.43816636
198	26.42128591
199	26.40865063
200	26.37804752
201	26.36095924
202	26.34014003
203	26.32707268
204	26.31678645
205	26.29652363
206	26.28653304
207	26.27555036
208	26.25941923
209	26.25147453
210	26.23284284
211	26.22034365
212	26.19873252
213	26.17619212
214	26.15988597
215	26.13767976
216	26.13022664
217	26.1035895
218	26.0920264
219	26.08010628
220	26.07592597
221	26.05003195
222	26.03890709
223	26.00793485
224	25.99067485
225	25.9752173
226	25.96827437
227	25.92814732
228	25.91100379
229	25.87588721
230	25.86782157
231	25.85962451
232	25.83158275
233	25.82226597
234	25.80749617
235	25.80050941
236	25.78467949
237	25.77491824
238	25.76736947
239	25.73775857
240	25.73549929
241	25.70013728
242	25.67292831
243	25.66984568
244	25.63413923
245	25.61810777
246	25.6065001
247	25.60243642
248	25.56888067
249	25.53900082
250	25.50763277
251	25.49422923
252	25.48563127
253	25.44969261
254	25.44250018
255	25.41915924
256	25.41076238
257	25.38044938
258	25.37562769
259	25.3388962
260	25.31993871
261	25.30693429
262	25.3010488
263	25.28606362
264	25.26713868
265	25.24558673
266	25.23125228
267	25.22740393
268	25.18976218
269	25.16126649
270	25.14359468
271	25.13681865
272	25.12409994
273	25.11551493
274	25.10076883
275	25.08566789
276	25.05135943
277	25.02708555
278	25.01442517
279	24.98951501
280	24.96560728
281	24.94187252
282	24.93627881
283	24.9069106
284	24.87641541
285	24.84690877
286	24.82384979
287	24.79316178
288	24.76558604
289	24.75148306
290	24.73971724
291	24.72847182
292	24.71908894
293	24.70833162
294	24.69904306
295	24.68892622
296	24.6689737
297	24.65616689
298	24.65090743
299	24.63101955
300	24.62395335
301	24.61615472
302	24.6065548
303	24.59433484
304	24.58587375
305	24.56690618
306	24.55518083
307	24.54979064
308	24.5425963
309	24.51798345
310	24.48554741
311	24.47461289
312	24.4514234
313	24.42511291
314	24.41169949
315	24.39489092
316	24.38434576
317	24.37331928
318	24.36266842
319	24.35237775
320	24.34121143
321	24.33362169
322	24.32655476
323	24.31659513
324	24.30696882
325	24.29732772
326	24.28820321
327	24.27861447
328	24.26383658
329	24.24659227
330	24.22408748
331	24.20770302
332	24.19205861
333	24.18278895
334	24.17431577
335	24.15187568
336	24.14368697
337	24.13261792
338	24.12558064
339	24.1188311
340	24.09459608
341	24.08141057
342	24.06869377
343	24.06016951
344	24.03587491
345	24.02472768
346	24.01422205
347	24.00845404
348	23.9859951
349	23.96652534
350	23.95686112
351	23.95205935
352	23.9433987
353	23.93738334
354	23.92192442
355	23.918537
356	23.90974831
357	23.88880021
358	23.86847761
359	23.86701273
360	23.84975976
361	23.83351032
362	23.82384459
363	23.81279891
364	23.80361045
365	23.79343733
366	23.78400535
367	23.77995401
368	23.77267808
369	23.75305447
370	23.72841341
